Sort Order,Investment_ID,Investment_Name,Program_Form_Set_ID,Program_Form_Set_Name,Agency_ID,Agency_Name,Program_ID,Program_Name,Impact_Area_ID,Impact_Area,Outcome_Type_ID,Outcome_Type_Name,Standard_Outcome_ID,Strategy_ID,Strategy_Name,Outcome_Indicator_Type_ID,Outcome_Indicator_Type_Name,Standard_Outcome_Indicator_ID,Outcome_Indicator_ID,Outcome_Indicator_Name,Form_Status,Form_Section_ID,Form_Section_Header,Unique Count July 2019,Unique Count August 2019,Unique Count September 2019,Annual Target 2019 (if applicable)
284,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24365,Indicator 4,18498,Agency E,73238,Agency E Program 3,2532,Strong Individuals and Families,12977,Strategy,11863,631820,Expand prevention and/or intervention services that interrupt the cycle of family violence for individuals and families who are either at risk of family violence or who are already victims or perpetrators themselves. (Indicator 4),14844,How WELL did we do it?,21637,934556,# & % of particpating clients who are either at risk of becoming victims or family violence and/or have been victimized meeting dosage requirements (How Well) SIFIC 4A,Submitted,135360,How Well,0,56,62,260
285,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24365,Indicator 4,18498,Agency E,73238,Agency E Program 3,2532,Strong Individuals and Families,12977,Strategy,11863,631820,Expand prevention and/or intervention services that interrupt the cycle of family violence for individuals and families who are either at risk of family violence or who are already victims or perpetrators themselves. (Indicator 4),14844,How WELL did we do it?,21636,934555,# & % of recruited people enrolled into program as participating clients (How Well) SIFIC 4A,Submitted,135360,How Well,0,56,62,465
286,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24365,Indicator 4,18498,Agency E,73238,Agency E Program 3,2532,Strong Individuals and Families,12977,Strategy,11863,631820,Expand prevention and/or intervention services that interrupt the cycle of family violence for individuals and families who are either at risk of family violence or who are already victims or perpetrators themselves. (Indicator 4),14844,How WELL did we do it?,21634,934553,# & % of total people enrolled into program who are either at risk of becoming perpetrators of familiy violence and/or already have been identified as perpetrators (How Much) SIFIC 4A,Submitted,135360,How Well,0,9,10,165
287,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24365,Indicator 4,18498,Agency E,73238,Agency E Program 3,2532,Strong Individuals and Families,12977,Strategy,11863,631820,Expand prevention and/or intervention services that interrupt the cycle of family violence for individuals and families who are either at risk of family violence or who are already victims or perpetrators themselves. (Indicator 4),14844,How WELL did we do it?,21632,934552,# & % of total people enrolled into program who are either at risk of becoming victims or family violence and/or have been victimized (How Much) SIFIC 4A,Submitted,135360,How Well,0,56,62,300
288,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24365,Indicator 4,18498,Agency E,73238,Agency E Program 3,2532,Strong Individuals and Families,12977,Strategy,11863,631820,Expand prevention and/or intervention services that interrupt the cycle of family violence for individuals and families who are either at risk of family violence or who are already victims or perpetrators themselves. (Indicator 4),14843,How MUCH did we do?,21633,934566,# of people enrolled into program who are either at risk of becoming perpetrators of familiy violence and/or already have been identified as perpetrators (How Much) SIFIC 4A,Submitted,135352,How Much,51,9,10,165
289,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24365,Indicator 4,18498,Agency E,73238,Agency E Program 3,2532,Strong Individuals and Families,12977,Strategy,11863,631820,Expand prevention and/or intervention services that interrupt the cycle of family violence for individuals and families who are either at risk of family violence or who are already victims or perpetrators themselves. (Indicator 4),14843,How MUCH did we do?,21631,934551,# of people enrolled into program who are either at risk of becoming victims or family violence and/or have been victimized (How Much) SIFIC 4A,Submitted,135352,How Much,189,56,62,300
290,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24365,Indicator 4,18498,Agency E,73238,Agency E Program 3,2532,Strong Individuals and Families,12977,Strategy,11863,631820,Expand prevention and/or intervention services that interrupt the cycle of family violence for individuals and families who are either at risk of family violence or who are already victims or perpetrators themselves. (Indicator 4),14843,How MUCH did we do?,21630,934550,# of people recruited for program,Submitted,135352,How Much,189,59,65,542
291,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24365,Indicator 4,18498,Agency E,73238,Agency E Program 3,2532,Strong Individuals and Families,12977,Strategy,11863,631820,Expand prevention and/or intervention services that interrupt the cycle of family violence for individuals and families who are either at risk of family violence or who are already victims or perpetrators themselves. (Indicator 4),14843,How MUCH did we do?,21635,934554,# total of people enrolled into program as participating clients (How Much) SIFIC 4A,Submitted,135352,How Much,189,56,62,465
519,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14844,How WELL did we do it?,21309,933368,# & %  of referrals of clients to other providers with clients receiving the service they were referred for within 60 days of referral (How Well),Submitted,135360,How Well,0,0,0,
520,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14845,Is anyone BETTER OFF?,21317,933372,# & % of caregivers of children 0-8 at lower risk to engage in abusive behavior towards children (Better Off),Submitted,135358,Better Off,0,0,0,126
521,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14845,Is anyone BETTER OFF?,21315,933371,# & % of children 0-8 at lower risk to experience child abuse as a result of receiving appropriate care (Better Off),Submitted,135358,Better Off,0,0,0,320
522,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14844,How WELL did we do it?,21312,933369,"# & % of participating children 0-8 completing participation in mental health, substance abuse, domestic violence and/or respite care services as per program model (How Well)",Submitted,135360,How Well,0,0,0,318
523,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14844,How WELL did we do it?,21313,933370,"# of caregivers of children 0-8 completing participation in mental health, substance abuse, domestic violence and/or respite care services on schedule as per program model (How Well)",Submitted,135360,How Well,0,0,0,126
524,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14843,How MUCH did we do?,21307,933366,"# of caregivers of children 0-8 currently participating in mental health, substance abuse, domestic violence and/or respite care services (How much)",Submitted,135352,How Much,0,4,4,
525,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14843,How MUCH did we do?,21305,933364,"# of caregivers of children 0-8 enrolled as participants with service providers relevant to mental health, substance abuse, domestic violence and respite care services through conducted outreach efforts (How Much)",Submitted,135352,How Much,1,3,3,158
526,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14843,How MUCH did we do?,21306,933365,"# of children 0-8 currently participating in mental health, substance abuse, domestic violence and/or respite care services (How Much)",Submitted,135352,How Much,1,4,4,
527,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14843,How MUCH did we do?,19787,933362,"# of families with children 0-8 receiving information relevant to child mental health, substance abuse, domestic violence and respite care services through outreach efforts (How Much)",Submitted,135352,How Much,0,4,4,232
528,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14843,How MUCH did we do?,21303,933361,# of outreach efforts conducted to recruit caregivers of children 0-8 for services (How Much),Submitted,135352,How Much,0,3,3,4
529,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14843,How MUCH did we do?,21302,933360,# of outreach efforts conducted to recruit children 0-8 for services (How Much),Submitted,135352,How Much,0,3,3,4
530,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14843,How MUCH did we do?,21308,933367,# of referrals of clients to other providers (How much),Submitted,135352,How Much,0,0,0,
531,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24333,Indicator 1,18498,Agency E,73124,Agency E Program 4,2530,Ready Children,12977,Strategy,11486,631622,"Expand access to child and adult mental health, substance abuse, domestic violence and respite care services (1.1)",14843,How MUCH did we do?,21304,933363,"(3)# of children 0-8 enrolled as participants with service providers relevant to mental health, substance abuse, domestic violence and respite care services through conducted outreach efforts (How Much)",Submitted,135352,How Much,1,3,3,398
613,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14845,Is anyone BETTER OFF?,21578,933512,# & %  of childcare slots improved in quality through completed TRS certification or national accreditation (Better Off),Submitted,135358,Better Off,0,0,0,
614,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14844,How WELL did we do it?,21572,933507,# & % of center leadership staff successfully completing professional development aligning with quality domains of TRS certifcation and/or national accreditation (How Well),Submitted,135360,How Well,0,0,0,4
615,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14844,How WELL did we do it?,21570,933505,# & % of teachers successfully completing professional development aligning with quality domains of TRS certifcation and/or national accreditation (How Well),Submitted,135360,How Well,0,12,13,11
616,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14843,How MUCH did we do?,21571,933506,# of center leadership staff participating in professional development aligning with quality domains of TRS certifcation and/or national accreditation (How Much),Submitted,135352,How Much,0,2,2,5
617,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14843,How MUCH did we do?,21577,933511,# of centers achieving national accreditation (Better Off),Submitted,135352,How Much,0,0,0,
618,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14843,How MUCH did we do?,21574,933508,# of centers achieving Texas Rising Star (TRS) certification level 2 (Better Off),Submitted,135352,How Much,0,0,0,
619,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14843,How MUCH did we do?,21575,933509,# of centers achieving Texas Rising Star (TRS) certification level 3 (Better Off),Submitted,135352,How Much,0,0,0,
620,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14843,How MUCH did we do?,21576,933510,# of centers achieving Texas Rising Star (TRS) certification level 4 (Better Off),Submitted,135352,How Much,0,0,0,
621,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14843,How MUCH did we do?,21566,933501,# of centers partipating in efforts to increase childcare quality (How Much),Submitted,135352,How Much,2,2,2,2
622,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14843,How MUCH did we do?,21567,933502,# of childcare slots targeted through center quality improvement efforts (How Much),Submitted,135352,How Much,0,115,127,200
623,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14843,How MUCH did we do?,21568,933503,# teachers participating in professional development aligning with quality domains of TRS certifcation and/or national accreditation (How Much),Submitted,135352,How Much,0,12,13,13
624,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24403,Indicator 3,18498,Agency E,73206,Agency E Program 5,2530,Ready Children,12977,Strategy,11846,631642,Partner with early childhood education centers to create a culture of child-centered and developmentally appropriate practices in all of the below ways: (3.2),14843,How MUCH did we do?,21569,933504,# teachers successfully completing professional development aligning with quality domains of TRS certifcation and/or national accreditation (How Well),Submitted,135352,How Much,0,12,13,11
775,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21594,933854,# & % of children 0-5 in participating families meeting age appropriate developmental milestones (Better Off),Submitted,135360,How Well,0,0,0,240
776,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21444,933849,# & % of families completing programming (How Well),Submitted,135360,How Well,0,0,0,210
777,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21596,933850,# & % of participating families completing programming (How Well) RCIC 4.2,Submitted,135360,How Well,0,0,0,210
778,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14845,Is anyone BETTER OFF?,21598,933852,# & % of participating families demonstrating an increase in parent/caregiver knowledge specific to age appropriate developmental milestones (How Well) RCIC 4.2,Submitted,135358,Better Off,0,0,0,178
779,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21590,933846,# & % of recruited families with children 0-5 participating in programming (How Well),Submitted,135360,How Well,0,0,0,240
780,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21591,933847,# of children 0-5 in families enrolled as participants (How Much),Submitted,135352,How Much,0,0,0,240
781,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21593,933853,# of children 0-5 meeting age appropriate developmental milestones (Better Off),Submitted,135352,How Much,0,0,0,240
782,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21446,933851,# of families demonstrating an increase in parent/caregiver knowledge specific to age appropriate developmental milestones (How Well),Submitted,135352,How Much,0,0,0,182
783,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21592,933848,# of families with children 0-5 currently participating in programming (How Much),Submitted,135352,How Much,0,0,0,
784,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21589,933845,# of families with children 0-5 enrolled in programming as participants (How Much),Submitted,135352,How Much,0,0,0,240
785,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18498,Agency E,73214,Agency E Program 6,2530,Ready Children,12977,Strategy,11850,631685,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21588,933844,# of families with children 0-5 recruited for programming (How Much),Submitted,135352,How Much,0,27,30,260
911,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21798,934945,# & %  of participating 1st-3rd grade students attending 80%+ of program as scheduled (How Well) SSIC 1.1A,Submitted,135360,How Well,0,0,0,552
912,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21802,934947,# & % of participating 1st grade students narrowing reading proficiency gap by the end of the school year (even if students are not reading at grade level) (Better Off) SSIC 1.1A,Submitted,135360,How Well,0,0,0,168
913,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21794,934942,# & % of participating 1st-3rd grade students assessed as at risk of becoming off-track to achieve reading proficiency at or above grade level by the end of the school year (at time of enrollment) (How Much) SSIC 1.1A,Submitted,135360,How Well,0,0,0,414
914,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21792,934940,# & % of participating 1st-3rd grade students assessed as off-track to achieve reading proficiency at or above grade level by the end of the school year (at time of enrollment)(How Much) SSIC 1.1A,Submitted,135360,How Well,0,0,0,276
915,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21800,934946,# & % of participating 1st-3rd grade students completing program (How Well) SSIC 1.1A,Submitted,135358,Better Off,0,0,0,552
916,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21804,934948,# & % of participating 2nd grade students narrowing reading proficiency gap by the end of the school year (even if students are not reading at grade level) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0,0,0,192
917,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21812,934953,# & % of participating 2nd grade students with reading proficiency at or above grade level by the end of the school year (as assessed by either school or program) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0,0,0,192
918,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21806,934949,# & % of participating 3rd grade students narrowing reading proficiency gap by the end of the school year (even if students are not reading at grade level) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0,0,0,192
919,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21818,934956,# & % of participating 3rd grade students passing 3rd grade STAAR reading assessment (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0,0,0,120
920,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21814,934954,# & % of participating 3rd grade students with reading proficiency at or above grade level by the end of the school year (as assessed by either school or program) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0,0,0,192
921,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21796,934944,# & % of participating students with at least one adult (e.g. family member or mentor - NOT PROGRAM STAFF) with an active role supporting progress towards grade level reading proficiency (How Much) SSIC 1.1A,Submitted,135360,How Well,0,0,0,690
922,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21786,934936,# & % of students enrolled in program who are in 1st grade (How Much) SSIC 1.1A,Submitted,135360,How Well,0,0,0,210
923,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21788,934937,# & % of students enrolled in program who are in 2nd grade (How Much) SSIC 1.1A,Submitted,135360,How Well,0,0,0,240
924,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21790,934938,# & % of students enrolled in program who are in 3rd grade (How Much) SSIC 1.1A,Submitted,135360,How Well,0,0,0,240
925,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21808,934950,# & % total of participating 1st-3rd grade students narrowing reading proficiency gap by the end of the school year (even if students are not reading at grade level) (Better Off) SSIC 1.1A,Submitted,135360,How Well,0,0,0,552
926,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21816,934955,# & % total of participating 1st-3rd grade students with reading proficiency at or above grade level by the end of the school year (as assessed by either school or program) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0,0,0,552
927,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14844,How WELL did we do it?,21810,934951,# & Percent of participating 1st grade students with reading proficiency at or above grade level by the end of the school year (as assessed by either school or program) (Better Off) SSIC 1.1A,Submitted,135360,How Well,0,0,0,168
928,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14843,How MUCH did we do?,21791,934939,# total of 1st-3rd grade students enrolled in program (How Much) SSIC 1.1A,Submitted,135352,How Much,0,0,0,690
929,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24366,Indicator 1.1 Strategy 1.1A,18498,Agency E,73251,Agency E Program 7,2531,Successful Students,12977,Strategy,11864,631929,Increase the number of diverse and evidence-based reading programs for children and adults (Indicator 1.1),14845,Is anyone BETTER OFF?,21811,934952,% of participating 1st grade students with reading proficiency at or above grade level by the end of the school year (as assessed by either school or program) (Better Off) SSIC 1.1A,Submitted,135358,Better Off,0,0,0,168
